ID,Nombre,Nivel,Autor,Categoría,Observaciones,Link,Activo,Orden,Tags,GoalKeys
guitarra-001,Los 3 pilares de la música,☆☆☆☆☆,Musicala,Teoría,,https://musicalaescuela.github.io/pilaresmusica/,Sí,1,,
guitarra-002,Bot MusiProfe,☆☆☆☆☆,Musicala,Herramienta,,https://chatgpt.com/g/g-EBGfbvWGc-musiprofe-de-musica,Sí,0,,
guitarra-003,Glosario de símbolos en Guitarra,★★☆☆☆,Musicala,Teoría,,https://musicalaescuela.github.io/glosariosimbolosguitarra/,Sí,,,
guitarra-004,Cambio de cuerdas en la Guitarra,☆☆☆☆☆,,,,https://musicalaescuela.github.io/cambiodecuerdasguitarra/,Sí,,,
guitarra-005,Rutinas de estudio,☆☆☆☆☆,,,,https://musicalaescuela.github.io/rutinasdestudio/,Sí,,,
guitarra-006,Metrónomo Inicial,☆☆☆☆☆,Musicala,Herramienta,,https://alekcaballero20.github.io/metronomomusicala/,Sí,,,
guitarra-007,Metrónomo Avanzado,★★☆☆☆,Musicala,Herramienta,,https://musicalaescuela.github.io/metronomomusicala/,Sí,,,
guitarra-008,Afinación de las cuerdas de la Guitarra,★★☆☆☆,Musicala,Herramienta,,https://musicalaescuela.github.io/afinadorviolin/,Sí,,,
guitarra-009,Cifrado,☆☆☆☆☆,,,,https://docs.google.com/document/d/1ejUf1CHV3UQjAYDhyLgwysejNqKIJwPbblIW5MQg59M/edit?tab=t.0,Sí,,,
guitarra-010,Pedales de efecto para Guitarra eléctrica,☆☆☆☆☆,,,,https://musicalaescuela.github.io/pedalesguitarra/,Sí,,,
guitarra-011,Notas en la Guitarra,★★☆☆☆,Musicala,Herramienta,,https://docs.google.com/document/d/1peX05-hNkyMugUwIqgHFqT4giAsotYUg0u2xXwLD4Ds/edit?tab=t.0,Sí,,,
guitarra-012,Diagnóstico teórico,☆☆☆☆☆,Musicala,Teoría,,https://docs.google.com/forms/d/1-sLh9cHbRUES5mpqJ0CpgagM3qbRc30s0uW1Rmo4JE4/edit?authuser=0,Sí,,,
guitarra-013,Diagnóstico técnico,☆☆☆☆☆,,,,https://docs.google.com/forms/d/1lAbvJDApUjLXFdeyfX0L7E5r_5uCxFKBWnG_b-44S6Q/edit,Sí,,,
guitarra-014,Introducción al curso de Guitarra,☆☆☆☆☆,,,,,Sí,,,
guitarra-015,Calentamiento y estiramiento corporal,☆☆☆☆☆,Musicala,Corporal,,https://musicalaescuela.github.io/calentamientoyestiramiento/,Sí,,,
guitarra-016,Gimnasia dactilar - Inicial,☆☆☆☆☆,Musicala,Técnico,,https://musicalaescuela.github.io/gimnasia-dactilarguitarra/,Sí,1,,
guitarra-017,Gimnasia dactilar - Individuales,☆☆☆☆☆,,,,https://www.youtube.com/watch?v=h9Flf4ezUWE&embeds_referring_euri=https%3A%2F%2Fclassroom.google.com%2F&source_ve_path=Mjg2NjY,Sí,2,,
guitarra-018,Gimnasia dactilar - Alternados,★☆☆☆☆,,,,https://drive.google.com/file/d/1q_AW-tu0NoeqlMrEWdmMWJuT6U188iRB/view,Sí,3,,
guitarra-019,Gimnasia dactilar - Móviles,★★☆☆☆,,,,https://www.youtube.com/watch?v=BolB14ombWA,Sí,4,,
guitarra-020,Gimnasia dactilar - Spider,★★★☆☆,,,,https://drive.google.com/file/d/15bJ7TSVHbiuHMv0rA13gqbJZdoOtNx3l/view?authuser=0&usp=classroom_web,Sí,5,,
guitarra-021,Fit for fun,☆☆☆☆☆,,,,https://drive.google.com/file/d/1_FFL5ZZVLtEDHC1LlyN6O3e41zw6f5JH/view,Sí,,,
guitarra-022,Seis cuerdas,☆☆☆☆☆,,,,https://drive.google.com/file/d/1-7MpdN2Xb4HJ9bnz8qczbu7Z3G2KG8PJ/view,Sí,,,
guitarra-023,Rock discipline,★★★★☆,Petrucci,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5OXYyV1VIZFBfSUk/view?resourcekey=0-QxtYKb5jXV2bO37XHsU_7Q,Sí,6,,
guitarra-024,Explicación de la técnica en la Guitarra,☆☆☆☆☆,Musicala,Técnico,,,Sí,,,
guitarra-025,Explicación de Patrones en la Guitarra,☆☆☆☆☆,,,,https://musicalaescuela.github.io/explicaciondepatronesguitarra/,Sí,,,
guitarra-026,Tabla de patrones iniciales 012,,,,,https://docs.google.com/document/d/1GVbrD-2jAe3EJndmotbE502ywUJAl92xPDwifVV1V-k/edit?tab=t.0,Sí,,,
guitarra-027,Tabla de patrones 0123,,,,,https://docs.google.com/document/d/1Q9Y_Ailg2vRAZlx1L36yLn1AVGxd0uIDgJy-rb8ZrRE/edit?tab=t.0,Sí,,,
guitarra-028,Tabla de patrones 1234,,,,,https://musicalaescuela.github.io/tabladepatrones/,Sí,,,
guitarra-029,Creative Guitar I,,Govan,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5WWZUVV9vVi1Ja1E/view?resourcekey=0-4ylyME90sPbfULTAQQerDg,Sí,,,
guitarra-030,Creative Guitar II,,Govan,,,https://drive.google.com/file/d/1kAV14Ljx-xa0yG-PBu6gpRbqXUwYnfm9/view,Sí,,,
guitarra-031,Patrones para la mano derecha,,,,,https://musicalaescuela.github.io/guitarrapatronesmd/,Sí,,,
guitarra-032,Cómo abordar el repertorio,,,,,https://musicalaescuela.github.io/comoabordarrepertorioguitarra/,Sí,,,
guitarra-033,Ruleta de práctica,,,,,https://musicalaescuela.github.io/ruletapractica/,Sí,,,
guitarra-034,Lista de canciones y repertorio,,,,,https://musicalaescuela.github.io/cancionesguitarra/,Sí,,,
guitarra-035,Explicación de acordes de quinta,,,,,https://musicalaescuela.github.io/acordesquintasguitarra/,Sí,,,
guitarra-036,Acordes iniciales,,,,,https://musicalaescuela.github.io/acordesinicialesguitarra/,Sí,,,
guitarra-037,Acordes de quinta en 6ta cuerda,,,,,https://drive.google.com/file/d/1VemBUnJtPZvUSk9n_V7Vutb289S_tIn0/view,Sí,,,
guitarra-038,Acordes de quinta en 5ta cuerda,,,,,https://drive.google.com/file/d/1tCVs4QcGNTl9c-ObN7vzeSXprEp4syra/view,Sí,,,
guitarra-039,Powerchords en 6ta cuerda,,,,,https://drive.google.com/file/d/1IjmIMQ95AfW6vRh_hURbVQVP-pSur7OA/view,Sí,,,
guitarra-040,Powerchords en 5ta cuerda,,,,,https://drive.google.com/file/d/1Rp_aMSTgkRsh6N469qkGebYPXl2WBqBR/view,Sí,,,
guitarra-041,Acordes con Cejilla,,,,,https://drive.google.com/file/d/1ocY_51kwAPf03U5cBYkDoHNOo2zxyfhJ/view,Sí,,,
